"Gallery","File Name","Standard Link","Direct Download Link","File ID"
"Astronomy","20240518_014956.jpg","https://drive.google.com/file/d/1PkEIgm_H2paRSyvlnfJF4jYluvJSOHBz/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1PkEIgm_H2paRSyvlnfJF4jYluvJSOHBz","1PkEIgm_H2paRSyvlnfJF4jYluvJSOHBz"
"Astronomy","20240812_030542.jpg","https://drive.google.com/file/d/16GnenTnnjr02tEXVREF94CoqknuI4O8i/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=16GnenTnnjr02tEXVREF94CoqknuI4O8i","16GnenTnnjr02tEXVREF94CoqknuI4O8i"
"Astronomy","20240812_034232.jpg","https://drive.google.com/file/d/1jWoMw0_KwxA6cNbtIDIOXXaMJ2Y3jqeu/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1jWoMw0_KwxA6cNbtIDIOXXaMJ2Y3jqeu","1jWoMw0_KwxA6cNbtIDIOXXaMJ2Y3jqeu"
"Astronomy","20240901_210212.jpg","https://drive.google.com/file/d/1Z5WjutHCa7plBEXfbOyaZbmVfJSL30Ag/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1Z5WjutHCa7plBEXfbOyaZbmVfJSL30Ag","1Z5WjutHCa7plBEXfbOyaZbmVfJSL30Ag"
"Astronomy","20240901_211621.jpg","https://drive.google.com/file/d/11cimF9Sx78C9h8ddDHuVEFhy3rNCgrXE/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=11cimF9Sx78C9h8ddDHuVEFhy3rNCgrXE","11cimF9Sx78C9h8ddDHuVEFhy3rNCgrXE"
"Astronomy","20241010_235904.jpg","https://drive.google.com/file/d/1Uoa4QG_kjIGVpdfkK1dR43zNDuu54ujh/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1Uoa4QG_kjIGVpdfkK1dR43zNDuu54ujh","1Uoa4QG_kjIGVpdfkK1dR43zNDuu54ujh"
"Astronomy","20241012_211236.jpg","https://drive.google.com/file/d/1_9arykBUpPmOTWGfkpZ3XxTteg7jtXik/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1_9arykBUpPmOTWGfkpZ3XxTteg7jtXik","1_9arykBUpPmOTWGfkpZ3XxTteg7jtXik"
"Astronomy","20241012_212326.jpg","https://drive.google.com/file/d/154xvd6QBDaswdc8ilMTR9mt_hNn0xete/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=154xvd6QBDaswdc8ilMTR9mt_hNn0xete","154xvd6QBDaswdc8ilMTR9mt_hNn0xete"
"Astronomy","20241014_192736.jpg","https://drive.google.com/file/d/1F5NeQUmJm2yavl2ygd9qOfY6vDrqWS9W/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1F5NeQUmJm2yavl2ygd9qOfY6vDrqWS9W","1F5NeQUmJm2yavl2ygd9qOfY6vDrqWS9W"
"Astronomy","20241014_193049.jpg","https://drive.google.com/file/d/1ed2jI45lTmDFhnbServz7OkCqMvA2X9Z/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1ed2jI45lTmDFhnbServz7OkCqMvA2X9Z","1ed2jI45lTmDFhnbServz7OkCqMvA2X9Z"
"Astronomy","20241014_195931.jpg","https://drive.google.com/file/d/1k7hzoMsAd6q97RZCkU0w7FLiczYYmzAd/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1k7hzoMsAd6q97RZCkU0w7FLiczYYmzAd","1k7hzoMsAd6q97RZCkU0w7FLiczYYmzAd"
"Astronomy","20241109_180423.jpg","https://drive.google.com/file/d/1FUIeTY73ImWrFo5G2cFp5jIv0cH7brbU/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1FUIeTY73ImWrFo5G2cFp5jIv0cH7brbU","1FUIeTY73ImWrFo5G2cFp5jIv0cH7brbU"
"Astronomy","20241109_181738.jpg","https://drive.google.com/file/d/1NipvaHkoLQQ5AGeWhdWgQkt2MKo_AESg/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1NipvaHkoLQQ5AGeWhdWgQkt2MKo_AESg","1NipvaHkoLQQ5AGeWhdWgQkt2MKo_AESg"
"Astronomy","20241109_182435.jpg","https://drive.google.com/file/d/1n0xX6TowXnCESnuFBG2s4l8KWtVdaN7X/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1n0xX6TowXnCESnuFBG2s4l8KWtVdaN7X","1n0xX6TowXnCESnuFBG2s4l8KWtVdaN7X"
"Astronomy","20241109_182914.jpg","https://drive.google.com/file/d/1wAwkunubfSYUF6su9ySbvvIgGV_zk5Zt/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1wAwkunubfSYUF6su9ySbvvIgGV_zk5Zt","1wAwkunubfSYUF6su9ySbvvIgGV_zk5Zt"
"Astronomy","20241109_185303.jpg","https://drive.google.com/file/d/1r-zja4LvmLq6n0SBBYyBEdwjhZLu4g3c/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1r-zja4LvmLq6n0SBBYyBEdwjhZLu4g3c","1r-zja4LvmLq6n0SBBYyBEdwjhZLu4g3c"
"Astronomy","20241208_220927.jpg","https://drive.google.com/file/d/1KGnN2zd-_VvgsrjEbln-lVqaqTCMH15W/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1KGnN2zd-_VvgsrjEbln-lVqaqTCMH15W","1KGnN2zd-_VvgsrjEbln-lVqaqTCMH15W"
"Astronomy","BigDipper1.jpg","https://drive.google.com/file/d/1-N81WVWh2jMrJV-tcSa2QPeYX-zrMcYC/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1-N81WVWh2jMrJV-tcSa2QPeYX-zrMcYC","1-N81WVWh2jMrJV-tcSa2QPeYX-zrMcYC"
"Astronomy","DarkSkyFestival2025_2..jpg","https://drive.google.com/file/d/1plWEUHG5I15_FizdOfeUb652tmNegP78/view?usp=drivesdk","https://drive.google.com/uc?export=download&id=1plWEUHG5I15_FizdOfeUb652tmNegP78","1plWEUHG5I15_FizdOfeUb652tmNegP78"
